Regions_ID;Regionsname;y_1850;y_1860;y_1870;y_1880;y_1890;y_1900;y_1910;y_1920;y_1930;y_1940;y_1950;y_1960;y_1970;y_1980;y_1990;y_2000;y_2014;Kanton;;;;;;
1;Affoltern am Albis;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 20,0 - 39,9 %;Mehrheit reformiert: 20,0 - 39,9 %;ZH;;;;;;
2;Bonstetten;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
3;Hedingen;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
4;Knonau;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
5;Maschwanden;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
6;Mettmenstetten;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
7;Obfelden;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
8;Ottenbach;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
9;Rifferswil;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
10;Stallikon;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit Reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: ≥ 80,0 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 60,0 - 79,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;Mehrheit reformiert: 40,0 - 59,9 %;ZH;;;;;;
